year,question_code,score,fundament,score_source,subcomponent
2017,cav_audit,"2,5",Evidências empíricas,Own,0
2018,cav_audit,"2,5",Evidências empíricas,Own,0
2019,cav_audit,"2,5",Evidências empíricas,Own,0
2020,cav_audit,"2,5",Evidências empíricas,Own,0
2021,cav_audit,"2,5",Evidências empíricas,Own,0
2022,cav_audit,"2,5",Evidências empíricas,Own,0
2023,cav_audit,"2,5",Evidências empíricas,Own,0
1990,cav_timescop_audrep,5,"Art. 165, §3º, da CF",Own,0
1991,cav_timescop_audrep,5,"Art. 165, §3º, da CF",Own,0
1992,cav_timescop_audrep,5,"Art. 165, §3º, da CF",Own,0
1993,cav_timescop_audrep,5,"Art. 165, §3º, da CF",Own,0
1994,cav_timescop_audrep,5,"Art. 165, §3º, da CF",Own,0
1995,cav_timescop_audrep,5,"Art. 165, §3º, da CF",Own,0
1996,cav_timescop_audrep,5,"Art. 165, §3º, da CF",Own,0
1997,cav_timescop_audrep,5,"Art. 165, §3º, da CF",Own,0
1998,cav_timescop_audrep,5,"Art. 165, §3º, da CF",Own,0
1999,cav_timescop_audrep,5,"Art. 165, §3º, da CF",Own,0
2000,cav_timescop_audrep,5,"Art. 165, §3º, da CF",Own,0
2001,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2002,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2003,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2004,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2005,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2006,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2007,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2008,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2009,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2010,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2011,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2012,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2013,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2014,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2015,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2016,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2017,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2018,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2019,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2020,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2021,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2022,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
2023,cav_timescop_audrep,10,Art. 9º da LRF,Own,0
1990,cav_rps_marc,10,Evidências empíricas,Own,0
1991,cav_rps_marc,10,Evidências empíricas,Own,0
1992,cav_rps_marc,10,Evidências empíricas,Own,0
1993,cav_rps_marc,10,Evidências empíricas,Own,0
1994,cav_rps_marc,10,Evidências empíricas,Own,0
1995,cav_rps_marc,10,Evidências empíricas,Own,0
1996,cav_rps_marc,10,Evidências empíricas,Own,0
1997,cav_rps_marc,10,Evidências empíricas,Own,0
1998,cav_rps_marc,10,Evidências empíricas,Own,0
1999,cav_rps_marc,10,Evidências empíricas,Own,0
2000,cav_rps_marc,10,Evidências empíricas,Own,0
2001,cav_rps_marc,10,art. 14 da LDO,Own,0
2002,cav_rps_marc,10,art. 14 da LDO,Own,0
2003,cav_rps_marc,10,"art. 5º, §7º, da LDO",Own,0
2004,cav_rps_marc,10,"art. 6º, §4º, da LDO",Own,0
2005,cav_rps_marc,10,"art. 7º, §4º, da LDO",Own,0
2006,cav_rps_marc,10,"art. 7º, §4º, da LDO",Own,0
2007,cav_rps_marc,0,"art. 7º, §4º, da LDO",Own,0
2008,cav_rps_marc,0,"art. 8º, §4º, da LDO",Own,0
2009,cav_rps_marc,0,"art. 7º, §4º, da LDO",Own,0
2010,cav_rps_marc,0,"art. 7º, §4º, da LDO",Own,0
2011,cav_rps_marc,0,"art. 7º, §4º, da LDO",Own,0
2012,cav_rps_marc,0,"art. 7º, §4º, da LDO",Own,0
2013,cav_rps_marc,"2,5","art. 7º, §4º, da LDO",Own,0
2014,cav_rps_marc,5,"art. 7º, §4º, da LDO",Own,0
2015,cav_rps_marc,5,"art. 7º, §4º, da LDO",Own,0
2016,cav_rps_marc,5,"art. 7º, §4º, da LDO",Own,0
2017,cav_rps_marc,"7,5","art. 7º, §4º, da LDO",Own,0
2018,cav_rps_marc,"7,5","art. 7º, §4º, da LDO",Own,0
2019,cav_rps_marc,"7,5","art. 7º, §4º, da LDO",Own,0
2020,cav_rps_marc,10,"art. 6º, §4º, da LDO",Own,0
2021,cav_rps_marc,10,"art. 7º, §4º, da LDO",Own,0
2022,cav_rps_marc,10,"art. 7º, §4º, da LDO",Own,0
2023,cav_rps_marc,10,"art. 7º, §4º, da LDO",Own,0
1990,cav_com_sec,0,Evidências empíricas,Own,0
1991,cav_com_sec,0,Evidências empíricas,Own,0
1992,cav_com_sec,"2,5",Art. 11 da Resolução nº 1/1991-CN,Own,0
1993,cav_com_sec,"2,5",Art. 11 da Resolução nº 1/1991-CN,Own,0
1994,cav_com_sec,"2,5",Art. 11 da Resolução nº 1/1991-CN,Own,0
1995,cav_com_sec,"2,5",Art. 11 da Resolução nº 1/1991-CN,Own,0
1996,cav_com_sec,"2,5",Art. 15 da Resolução nº 2/1995-CN,Own,0
1997,cav_com_sec,"2,5",Art. 15 da Resolução nº 2/1995-CN,Own,0
1998,cav_com_sec,"2,5",Art. 15 da Resolução nº 2/1995-CN,Own,0
1999,cav_com_sec,"2,5",Art. 15 da Resolução nº 2/1995-CN,Own,0
2000,cav_com_sec,"2,5",Art. 15 da Resolução nº 2/1995-CN,Own,0
2001,cav_com_sec,"2,5",Art. 15 da Resolução nº 2/1995-CN,Own,0
2002,cav_com_sec,"2,5",Art. 18 da Resolução nº 1/2001,Own,0
2003,cav_com_sec,"2,5",Art. 18 da Resolução nº 1/2001,Own,0
2004,cav_com_sec,"2,5",Art. 18 da Resolução nº 1/2001,Own,0
2005,cav_com_sec,"2,5",Art. 18 da Resolução nº 1/2001,Own,0
2006,cav_com_sec,"2,5",Art. 18 da Resolução nº 1/2001,Own,0
2007,cav_com_sec,10,Art. 57 da Resolução nº 1/2006-CN,Own,0
2008,cav_com_sec,10,Art. 57 da Resolução nº 1/2006-CN,Own,0
2009,cav_com_sec,10,Art. 57 da Resolução nº 1/2006-CN,Own,0
2010,cav_com_sec,10,Art. 57 da Resolução nº 1/2006-CN,Own,0
2011,cav_com_sec,10,Art. 57 da Resolução nº 1/2006-CN,Own,0
2012,cav_com_sec,10,Art. 57 da Resolução nº 1/2006-CN,Own,0
2013,cav_com_sec,10,Art. 57 da Resolução nº 1/2006-CN,Own,0
2014,cav_com_sec,10,Art. 57 da Resolução nº 1/2006-CN,Own,0
2015,cav_com_sec,10,Art. 57 da Resolução nº 1/2006-CN,Own,0
2016,cav_com_sec,10,Art. 57 da Resolução nº 1/2006-CN,Own,0
2017,cav_com_sec,10,Art. 57 da Resolução nº 1/2006-CN,Own,0
2018,cav_com_sec,10,Art. 57 da Resolução nº 1/2006-CN,Own,0
2019,cav_com_sec,10,Art. 57 da Resolução nº 1/2006-CN,Own,0
2020,cav_com_sec,10,Art. 57 da Resolução nº 1/2006-CN,Own,0
2021,cav_com_sec,10,Art. 57 da Resolução nº 1/2006-CN,Own,0
2022,cav_com_sec,10,Art. 57 da Resolução nº 1/2006-CN,Own,0
2023,cav_com_sec,10,Art. 57 da Resolução nº 1/2006-CN,Own,0
1990,cav_com_aud,0,"Art. 166,  §1º, I, da CF",Own,0
1991,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
1992,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
1993,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
1994,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
1995,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
1996,cav_com_aud,0,"Art. 166,  §1º, I, da CF",Own,0
1997,cav_com_aud,0,"Art. 166,  §1º, I, da CF",Own,0
1998,cav_com_aud,0,"Art. 166,  §1º, I, da CF",Own,0
1999,cav_com_aud,0,"Art. 166,  §1º, I, da CF",Own,0
2000,cav_com_aud,0,"Art. 166,  §1º, I, da CF",Own,0
2001,cav_com_aud,0,"Art. 166,  §1º, I, da CF",Own,0
2002,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2003,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2004,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2005,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2006,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2007,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2008,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2009,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2010,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2011,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2012,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2013,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2014,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2015,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2016,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2017,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2018,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2019,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2020,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2021,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2022,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
2023,cav_com_aud,"2,5","Art. 166,  §1º, I, da CF",Own,0
1990,cav_exec_modif,4,Art. 11 da LOA 1990,Own,0
1991,cav_exec_modif,4,Art. 6º da LOA 1991,Own,0
1992,cav_exec_modif,4,Art. 6º da LOA 1992,Own,0
1993,cav_exec_modif,4,Art. 6º da LOA 1993,Own,0
1994,cav_exec_modif,4,Art. 6º da LOA 1994,Own,0
1995,cav_exec_modif,4,Art. 6º da LOA 1995,Own,0
1996,cav_exec_modif,4,Art. 6º da LOA 1996,Own,0
1997,cav_exec_modif,4,Art. 6º da LOA 1997,Own,0
1998,cav_exec_modif,4,Art. 6º da LOA 1998,Own,0
1999,cav_exec_modif,4,Art. 6º da LOA 1999,Own,0
2000,cav_exec_modif,4,Art. 6º da LOA 2000,Own,0
2001,cav_exec_modif,4,Art. 6º da LOA 2001,Own,0
2002,cav_exec_modif,4,Art. 6º da LOA 2002,Own,0
2003,cav_exec_modif,4,Art. 6º da LOA 2003,Own,0
2004,cav_exec_modif,4,Art. 4º da LOA 2004,Own,0
2005,cav_exec_modif,4,Art. 4º da LOA 2005,Own,0
2006,cav_exec_modif,4,Art. 4º da LOA 2006,Own,0
2007,cav_exec_modif,4,Art. 4º da LOA 2007,Own,0
2008,cav_exec_modif,4,Art. 4º da LOA 2008,Own,0
2009,cav_exec_modif,5,Art. 4º da LOA 2009,Own,0
2010,cav_exec_modif,5,Art. 4º da LOA 2010,Own,0
2011,cav_exec_modif,5,Art. 4º da LOA 2011,Own,0
2012,cav_exec_modif,5,Art. 4º da LOA 2012,Own,0
2013,cav_exec_modif,6,Art. 4º da LOA 2013,Own,0
2014,cav_exec_modif,5,Art. 4º da LOA 2014,Own,0
2015,cav_exec_modif,5,Art. 4º da LOA 2015,Own,0
2016,cav_exec_modif,7,Art. 4º da LOA 2016,Own,0
2017,cav_exec_modif,7,"Art. 4º, §7º, da LOA 2017",Own,0
2018,cav_exec_modif,7,"Art. 4º, §6º, da LOA 2018",Own,0
2019,cav_exec_modif,7,"Art. 4º, §6º, da LOA 2019",Own,0
2020,cav_exec_modif,7,"Art. 4º, §7º, da LOA 2020",Own,0
2021,cav_exec_modif,7,"Art. 4º, §7º, da LOA 2021",Own,0
2022,cav_exec_modif,7,"Art. 4º, §7º, da LOA 2022",Own,0
2023,cav_exec_modif,7,"Art. 4º, §7º, da LOA 2023",Own,0
1990,cav_exec_imp,0,Evidências empíricas,Own,0
1991,cav_exec_imp,0,Evidências empíricas,Own,0
1992,cav_exec_imp,0,Evidências empíricas,Own,0
1993,cav_exec_imp,0,Evidências empíricas,Own,0
1994,cav_exec_imp,0,Evidências empíricas,Own,0
1995,cav_exec_imp,0,Evidências empíricas,Own,0
1996,cav_exec_imp,0,Evidências empíricas,Own,0
1997,cav_exec_imp,0,Evidências empíricas,Own,0
1998,cav_exec_imp,0,Evidências empíricas,Own,0
1999,cav_exec_imp,0,Evidências empíricas,Own,0
2000,cav_exec_imp,0,Evidências empíricas,Own,0
2001,cav_exec_imp,0,Evidências empíricas,Own,0
2002,cav_exec_imp,0,Evidências empíricas,Own,0
2003,cav_exec_imp,0,Evidências empíricas,Own,0
2004,cav_exec_imp,0,Evidências empíricas,Own,0
2005,cav_exec_imp,0,Evidências empíricas,Own,0
2006,cav_exec_imp,0,Evidências empíricas,Own,0
2007,cav_exec_imp,0,Evidências empíricas,Own,0
2008,cav_exec_imp,0,Evidências empíricas,Own,0
2009,cav_exec_imp,0,Evidências empíricas,Own,0
2010,cav_exec_imp,0,Evidências empíricas,Own,0
2011,cav_exec_imp,0,Evidências empíricas,Own,0
2012,cav_exec_imp,0,Evidências empíricas,Own,0
2013,cav_exec_imp,0,Evidências empíricas,Own,0
2014,cav_exec_imp,2,Art. 52 da LDO 2014,Own,0
2015,cav_exec_imp,2,Art. 56 da LDO 2015,Own,0
2016,cav_exec_imp,4,"Art. 68 da LDO 2016 + Art. 166, §§9º a 18º, da CF (EC86/15)",Own,0
2017,cav_exec_imp,4,"Art. 72 da LDO 2017 + Art. 166, §§9º a 18º, da CF (EC86/15)",Own,0
2018,cav_exec_imp,4,"Art. 59 da LDO 2018 + Art. 166, §§9º a 18º, da CF (EC86/15)",Own,0
2019,cav_exec_imp,4,"Art. 62 da LDO 2019 + Art. 166, §§9º a 18º, da CF (EC86/15)",Own,0
2020,cav_exec_imp,4,"Art. 166, §§9º a 20º, da CF (EC100/19)",Own,0
2021,cav_exec_imp,4,"Art. 166, §§9º a 20º, da CF (EC100/19)",Own,0
2022,cav_exec_imp,4,"Art. 166, §§9º a 20º, da CF (EC100/19)",Own,0
2023,cav_exec_imp,4,"Art. 166, §§9º a 20º, da CF (EC100/19)",Own,0
1990,weh_exec_res,0,Art. 91 do Decreto-Lei nº 200/1967,Own,1
1991,weh_exec_res,0,Art. 91 do Decreto-Lei nº 200/1967,Own,1
1992,weh_exec_res,0,Art. 91 do Decreto-Lei nº 200/1967,Own,1
1993,weh_exec_res,0,Art. 91 do Decreto-Lei nº 200/1967,Own,1
1994,weh_exec_res,0,Art. 91 do Decreto-Lei nº 200/1967,Own,1
1995,weh_exec_res,0,Art. 91 do Decreto-Lei nº 200/1967,Own,1
1996,weh_exec_res,0,Art. 91 do Decreto-Lei nº 200/1967,Own,1
1997,weh_exec_res,0,Art. 91 do Decreto-Lei nº 200/1967,Own,1
1998,weh_exec_res,0,Art. 91 do Decreto-Lei nº 200/1967,Own,1
1999,weh_exec_res,0,Art. 91 do Decreto-Lei nº 200/1967,Own,1
2000,weh_exec_res,0,Art. 91 do Decreto-Lei nº 200/1967,Own,1
2001,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2002,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2003,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2004,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2005,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2006,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2007,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2008,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2009,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2010,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2011,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2012,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2013,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2014,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2015,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2016,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2017,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2018,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2019,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2020,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2021,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2022,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
2023,weh_exec_res,0,"Art. 5º, III, da LRF",Own,1
1990,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
1991,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
1992,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
1993,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
1994,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
1995,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
1996,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
1997,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
1998,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
1999,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
2000,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
2001,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
2002,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
2003,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
2004,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
2005,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
2006,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
2007,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
2008,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
2009,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
2010,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
2011,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
2012,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
2013,weh_exec_withold,"1,7",Prática informal: só não pode deixar de executar o que é obrigatório.,Own,1
2014,weh_exec_withold,"3,3",Art. 52 da LDO 2014,Own,1
2015,weh_exec_withold,"3,3",Art. 56 da LDO 2015,Own,1
2016,weh_exec_withold,"3,3","Art. 68 da LDO 2016 + Art. 166, §§9º a 18º, da CF (EC86/15)",Own,1
2017,weh_exec_withold,"3,3","Art. 72 da LDO 2017 + Art. 166, §§9º a 18º, da CF (EC86/15)",Own,1
2018,weh_exec_withold,"3,3","Art. 59 da LDO 2018 + Art. 166, §§9º a 18º, da CF (EC86/15)",Own,1
2019,weh_exec_withold,"3,3","Art. 62 da LDO 2019 + Art. 166, §§9º a 18º, da CF (EC86/15)",Own,1
2020,weh_exec_withold,"3,3","Art. 166, §§9º a 20º, da CF (EC100/19)",Own,1
2021,weh_exec_withold,"3,3","Art. 166, §§9º a 20º, da CF (EC100/19)",Own,1
2022,weh_exec_withold,"3,3","Art. 166, §§9º a 20º, da CF (EC100/19)",Own,1
2023,weh_exec_withold,"3,3","Art. 166, §§9º a 20º, da CF (EC100/19)",Own,1
1990,weh_no_app_h,"6,7",Prática informal,Own,0
1991,weh_no_app_h,"6,7",Prática informal,Own,0
1992,weh_no_app_h,"6,7",Prática informal,Own,0
1993,weh_no_app_h,"6,7",Prática informal,Own,0
1994,weh_no_app_h,"6,7",Prática informal,Own,0
1995,weh_no_app_h,"6,7",Prática informal,Own,0
1996,weh_no_app_h,"6,7",Prática informal,Own,0
1997,weh_no_app_h,"6,7",Prática informal,Own,0
1998,weh_no_app_h,"6,7",Prática informal,Own,0
1999,weh_no_app_h,"6,7",Prática informal,Own,0
2000,weh_no_app_h,"6,7",Prática informal,Own,0
2001,weh_no_app_h,"6,7",Prática informal,Own,0
2002,weh_no_app_h,"6,7",Prática informal,Own,0
2003,weh_no_app_h,"6,7",Prática informal,Own,0
2004,weh_no_app_h,"6,7",Prática informal,Own,0
2005,weh_no_app_h,"6,7",Prática informal,Own,0
2006,weh_no_app_h,"6,7",Prática informal,Own,0
2007,weh_no_app_h,"6,7",Prática informal,Own,0
2008,weh_no_app_h,"6,7",Prática informal,Own,0
2009,weh_no_app_h,"6,7",Prática informal,Own,0
2010,weh_no_app_h,"6,7",Prática informal,Own,0
2011,weh_no_app_h,"6,7",Prática informal,Own,0
2012,weh_no_app_h,"6,7",Prática informal,Own,0
2013,weh_no_app_h,"6,7",Prática informal,Own,0
2014,weh_no_app_h,"6,7",Prática informal,Own,0
2015,weh_no_app_h,"6,7",Prática informal,Own,0
2016,weh_no_app_h,"6,7",Prática informal,Own,0
2017,weh_no_app_h,"6,7",Prática informal,Own,0
2018,weh_no_app_h,"6,7",Prática informal,Own,0
2019,weh_no_app_h,"6,7",Prática informal,Own,0
2020,weh_no_app_h,"6,7",Prática informal,Own,0
2021,weh_no_app_h,"6,7",Prática informal,Own,0
2022,weh_no_app_h,"6,7",Prática informal,Own,0
2023,weh_no_app_h,"6,7",Prática informal,Own,0
1990,weh_res_cap,10,Evidências empíricas,Own,0
1991,weh_res_cap,10,Evidências empíricas,Own,0
1992,weh_res_cap,10,Evidências empíricas,Own,0
1993,weh_res_cap,10,Evidências empíricas,Own,0
1994,weh_res_cap,10,Evidências empíricas,Own,0
1995,weh_res_cap,10,Evidências empíricas,Own,0
1996,weh_res_cap,10,Evidências empíricas,Own,0
1997,weh_res_cap,10,Evidências empíricas,Own,0
1998,weh_res_cap,10,Evidências empíricas,Own,0
1999,weh_res_cap,10,Evidências empíricas,Own,0
2000,weh_res_cap,10,Evidências empíricas,Own,0
2001,weh_res_cap,10,Evidências empíricas,Own,0
2002,weh_res_cap,10,Evidências empíricas,Own,0
2003,weh_res_cap,10,Evidências empíricas,Own,0
2004,weh_res_cap,10,Evidências empíricas,Own,0
2005,weh_res_cap,10,Evidências empíricas,Own,0
2006,weh_res_cap,10,Evidências empíricas,Own,0
2007,weh_res_cap,10,Evidências empíricas,Own,0
2008,weh_res_cap,10,Evidências empíricas,Own,0
2009,weh_res_cap,10,Evidências empíricas,Own,0
2010,weh_res_cap,10,Evidências empíricas,Own,0
2011,weh_res_cap,10,Evidências empíricas,Own,0
2012,weh_res_cap,10,Evidências empíricas,Own,0
2013,weh_res_cap,10,Evidências empíricas,Own,0
2014,weh_res_cap,10,Evidências empíricas,Own,0
2015,weh_res_cap,10,Evidências empíricas,Own,0
2016,weh_res_cap,10,Evidências empíricas,Own,0
2017,weh_res_cap,10,Evidências empíricas,Own,0
2018,weh_res_cap,10,Evidências empíricas,Own,0
2019,weh_res_cap,10,Evidências empíricas,Own,0
2020,weh_res_cap,10,Evidências empíricas,Own,0
2021,weh_res_cap,10,Evidências empíricas,Own,0
2022,weh_res_cap,10,Evidências empíricas,Own,0
2023,weh_res_cap,10,Evidências empíricas,Own,0
1990,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
1991,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
1992,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
1993,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
1994,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
1995,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
1996,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
1997,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
1998,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
1999,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2000,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2001,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2002,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2003,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2004,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2005,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2006,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2007,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2008,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2009,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2010,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2011,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2012,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2013,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2014,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2015,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2016,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2017,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2018,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2019,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2020,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2021,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2022,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
2023,weh_rest_am,"6,7","Art. 166, §3º, II, da CF88",Own,0
1990,weh_time_sc,"6,7","Art. 165, §9º, I, da CF + artigo 35, §2º, III, do ADCT",Own,0
1991,weh_time_sc,"6,7","Art. 165, §9º, I, da CF + artigo 35, §2º, III, do ADCT",Own,0
1992,weh_time_sc,"6,7","Art. 165, §9º, I, da CF + artigo 35, §2º, III, do ADCT",Own,0
1993,weh_time_sc,"6,7","Art. 165, §9º, I, da CF + artigo 35, §2º, III, do ADCT",Own,0
1994,weh_time_sc,"6,7","Art. 165, §9º, I, da CF + artigo 35, §2º, III, do ADCT",Own,0
1995,weh_time_sc,"6,7","Art. 165, §9º, I, da CF + artigo 35, §2º, III, do ADCT",Own,0
1996,weh_time_sc,"6,7","Art. 165, §9º, I, da CF + artigo 35, §2º, III, do ADCT",Own,0
1997,weh_time_sc,"6,7","Art. 165, §9º, I, da CF + artigo 35, §2º, III, do ADCT",Own,0
1998,weh_time_sc,"6,7","Art. 165, §9º, I, da CF + artigo 35, §2º, III, do ADCT",Own,0
